Virus detected; Sample name ;Sample ID;Mapped reads Nr. ;Mapped Reads deduplication with samples have highest mapped reads number (percentage of read removed) ;Total_Reads_Nr
BanMMV;ITC1565;3B6;7;0;7043406
BanMMV;ITC1859;3B9;1840;0;8867318
BanMMV;ITC1859 (OLD KIT);3B10;950;0;10560962
BanMMV;ITC1861;3B11;1903;0;8953048
BanMMV;ITC1863;3B12;816;0;9672622
BanMMV;ITC1867;3B13;1167;0;9624386
BanMMV;ITC1867 (OLD KIT);3B14;558;0;11309014
BanMMV;Sample J;3B19;3247;RF;9844928
BanMMV;Sample EM4;3B20;903;0.11;11719374
BanMMV;Positive Control ;3B1;807;0;9058188
BanMMV;Positive Control (OLD KIT);3B2;512;0;11857342
BBrMV;ITC1565;3B6;2;ND;7043406
BBrMV;ITC1859;3B9;4;ND;8867318
BBrMV;ITC1867;3B13;5;20;9624386
BBrMV;ITC1867 (OLD KIT);3B14;1;ND;11309014
BBrMV;Sample 2;3B15;4;ND;10009300
BBrMV;Sample 3;3B16;5;60;7572832
BBrMV;Sample 4;3B17;3;ND;9185130
BBrMV;Sample 5;3B18;1;ND;9786650
BBrMV;Sample J;3B19;288675;RF;9844928
BBrMV;Sample EM4;3B20;114;80.7;11719374
BBrMV;BBrMV2 No.208;3B21;3099;9.81;10957512
BBrMV;BBrMV3 No.58;3B22;1519;10.01;10510534
BBrMV;BBrMV4 No.15;3B23;4715;8.42;8925132
BBrMV;BSOLV1 No.10;3B24;1;ND;9008568
BBrMV;BBTV No.9.58.2;3B25;8;62.5;9626270
BBrMV;Wheat Control;3W1;1;ND;9129442
BBrMV;Positive Control ;3B1;16787;0.05;9058188
BBrMV;Positive Control (OLD KIT);3B2;7205;0.07;11857342
BBTV;BBTV No.9.58.2;3B25;715;RF;9626270
BBTV;Positive Control ;3B1;66;13.64;9058188
BBTV;Positive Control (OLD KIT);3B2;52;13.46;11857342
CMV;ITC0146;3B3;2;ND;12309622
CMV;ITC1498;3B5;845;1.06;7099966
CMV;ITC1565;3B6;686;1.17;7043406
CMV;ITC1607;3B7;2;ND;7963780
CMV;ITC1847;3B8;1;ND;8587532
CMV;ITC1863;3B12;1;ND;9672622
CMV;ITC1867;3B13;1;ND;9624386
CMV;ITC1867 (OLD KIT);3B14;1;ND;11309014
CMV;Sample 2;3B15;2;ND;10009300
CMV;Sample 3;3B16;3;ND;7572832
CMV;Sample 5;3B18;1;ND;9786650
CMV;Sample EM4;3B20;1884;0.05;11719374
CMV;BBrMV3 No.58;3B22;2;ND;10510534
CMV;BBrMV4 No.15;3B23;2;ND;8925132
CMV;BSOLV1 No.10;3B24;2;ND;9008568
CMV;BBTV No.9.58.2;3B25;1;ND;9626270
CMV;Positive Control ;3B1;32672;RF;9058188
CMV;Positive Control (OLD KIT);3B2;22320;20.46;11857342
CMV;Negetive Control ;3B26;1;ND;10257182
