Virus detected;Sample name;Sample ID;Mapped reads Nr.;Mapped Reads deduplication with samples have highest mapped reads number (percentage of read removed);Total_Reads_Nr;Indexing
BYDV;ITC0146;3B3;7;42.86;12309622;ABSENT
BYDV;ITC0148;3B4;9;55.56;10479900;ABSENT
BYDV;ITC1498;3B5;6;16.67;7099966;ABSENT
BYDV;ITC1565;3B6;11;9.09;7043406;ABSENT
BYDV;ITC1607;3B7;3;ND;7963780;ABSENT
BYDV;ITC1847;3B8;4;ND;8587532;ABSENT
BYDV;ITC1859;3B9;5;20;8867318;ABSENT
BYDV;ITC1859 (OLD KIT);3B10;288;67.71;10560962;ABSENT
BYDV;ITC1861;3B11;2;ND;8953048;ABSENT
BYDV;ITC1863;3B12;3;ND;9672622;ABSENT
BYDV;ITC1867;3B13;1;ND;9624386;ABSENT
BYDV;ITC1867 (OLD KIT);3B14;9;33.33;11309014;ABSENT
BYDV;Sample 2;3B15;6;16.67;10009300;ABSENT
BYDV;Sample 3;3B16;8;0;7572832;ABSENT
BYDV;Sample 4;3B17;2;ND;9185130;ABSENT
BYDV;Sample 5;3B18;4;ND;9786650;ABSENT
BYDV;Sample J;3B19;8;25;9844928;ABSENT
BYDV;Sample EM4;3B20;1;ND;11719374;ABSENT
BYDV;BBrMV2 No.208;3B21;5;60;10957512;ABSENT
BYDV;BBrMV3 No.58;3B22;40;90;10510534;ABSENT
BYDV;BBrMV4 No.15;3B23;22;40.91;8925132;ABSENT
BYDV;BSOLV1 No.10;3B24;10;10;9008568;ABSENT
BYDV;BBTV No.9.58.2;3B25;44;90.91;9626270;ABSENT
BYDV;Wheat Control;3W1;125616;RF;9129442;PRESENT
BYDV;Positive Control ;3B1;6;50;9058188;ABSENT
BYDV;Positive Control (OLD KIT);3B2;11;18.18;11857342;ABSENT
BYDV;Negetive Control ;3B26;184;53.26;10257182;ABSENT
